ID,distance,school_location,same_shore,cb_location,grade,age,gender,car_availability,season,effort,original_choice
241,0.32,non Same Shore,same shore,not close,10.0,16.0,male,No car,summer,25.77,walk
1113,0.46,non Same Shore,same shore,not close,12.0,19.0,female,No car,summer,46.56,walk
319,1.4,non Same Shore,same shore,not close,8.0,14.0,female,No car,summer,80.99,transit
62,2.14,non Same Shore,same shore,not close,12.0,18.0,male,No car,summer,626.76,bike
1168,2.27,non Same Shore,same shore,not close,7.0,13.0,female,No car,summer,213.48,transit
1737,0.71,non Same Shore,same shore,not close,10.0,17.0,male,No car,summer,69.9,walk
520,2.41,non Same Shore,same shore,not close,9.0,15.0,female,No car,summer,112.45,transit
575,2.3,non Same Shore,same shore,not close,12.0,17.0,female,No car,summer,627.87,transit
853,1.81,non Same Shore,same shore,not close,6.0,12.0,male,No car,summer,30.07,bike
732,2.7,non Same Shore,same shore,not close,12.0,18.0,male,No car,summer,128.76,bike
1153,0.5,non Same Shore,same shore,not close,12.0,17.0,female,No car,summer,92.6,walk
940,1.93,non Same Shore,same shore,not close,9.0,14.0,female,No car,summer,275.25,bike
1563,2.98,non Same Shore,same shore,not close,12.0,18.0,male,A car,summer,43.32,bike
1269,1.15,non Same Shore,same shore,not close,12.0,18.0,female,No car,summer,68.95,walk
446,2.44,non Same Shore,same shore,not close,7.0,13.0,female,No car,summer,278.01,transit
132,1.79,non Same Shore,same shore,not close,9.0,15.0,male,No car,summer,541.31,walk
1319,1.97,non Same Shore,same shore,not close,9.0,16.0,male,No car,summer,30.7,bike
1527,2.82,non Same Shore,same shore,not close,6.0,12.0,male,No car,summer,45.23,transit
584,2.06,non Same Shore,same shore,not close,11.0,18.0,female,No car,summer,221.41,transit
1114,0.67,non Same Shore,same shore,not close,12.0,19.0,female,No car,summer,50.03,walk
1802,2.06,Same Shore,same shore,close,8.0,13.0,female,No car,summer,165.47,transit
1430,0.75,non Same Shore,same shore,not close,12.0,19.0,female,No car,summer,63.66,walk
693,2.55,non Same Shore,same shore,not close,5.0,11.0,male,No car,summer,96.63,transit
1216,1.81,non Same Shore,same shore,not close,9.0,15.0,female,No car,summer,28.57,transit
1107,0.71,non Same Shore,same shore,not close,6.0,12.0,female,No car,summer,27.55,walk
785,0.77,non Same Shore,same shore,not close,5.0,11.0,male,No car,summer,61.95,walk
1689,2.62,non Same Shore,same shore,not close,10.0,15.0,female,No car,summer,85.88,transit
152,2.75,non Same Shore,same shore,not close,8.0,13.0,female,No car,summer,227.35,transit
562,1.57,non Same Shore,same shore,not close,7.0,13.0,male,No car,summer,118.97,walk
1037,2.9,non Same Shore,same shore,not close,5.0,10.0,female,No car,summer,96.31,transit
297,1.46,non Same Shore,same shore,not close,12.0,18.0,female,No car,summer,303.55,transit
350,2.25,non Same Shore,same shore,not close,6.0,11.0,female,No car,summer,222.81,transit
888,0.91,non Same Shore,same shore,not close,7.0,13.0,male,No car,summer,58.59,walk
1805,2.14,Same Shore,same shore,close,8.0,16.0,male,No car,summer,344.46,transit
1761,0.65,non Same Shore,same shore,not close,6.0,11.0,male,No car,summer,25.49,walk
192,1.04,non Same Shore,same shore,not close,5.0,11.0,female,No car,summer,136.02,walk
795,0.34,non Same Shore,same shore,not close,6.0,12.0,male,No car,summer,71.95,walk
949,1.74,non Same Shore,same shore,not close,11.0,17.0,female,No car,summer,282.31,bike
914,1.68,non Same Shore,same shore,not close,8.0,14.0,male,No car,summer,493.39,bike
103,0.41,non Same Shore,same shore,not close,10.0,16.0,male,No car,summer,34.58,walk
943,2.66,non Same Shore,same shore,not close,11.0,18.0,female,No car,summer,560.18,transit
1185,1.48,non Same Shore,same shore,not close,8.0,14.0,female,No car,summer,70.46,bike
1180,2.05,non Same Shore,same shore,not close,10.0,16.0,female,No car,summer,81.49,transit
338,1.25,non Same Shore,same shore,not close,6.0,12.0,female,No car,summer,199.71,bike
1350,1.57,non Same Shore,same shore,not close,11.0,16.0,female,No car,summer,15.26,bike
1229,0.71,non Same Shore,same shore,not close,9.0,14.0,female,No car,summer,61.96,walk
798,0.86,non Same Shore,same shore,not close,5.0,11.0,male,No car,summer,52.87,walk
885,1.46,non Same Shore,same shore,not close,11.0,17.0,male,A car,summer,61.76,bike
1752,1.29,non Same Shore,same shore,not close,10.0,16.0,female,No car,summer,57.84,bike
504,1.17,non Same Shore,same shore,not close,9.0,15.0,female,No car,summer,104.19,bike
567,1.52,non Same Shore,same shore,not close,7.0,13.0,male,No car,summer,319.36,walk
89,2.03,non Same Shore,different shores,close,11.0,17.0,male,No car,summer,63.64,bike
1605,0.82,non Same Shore,same shore,not close,8.0,14.0,male,No car,summer,52.17,bike
188,2.84,non Same Shore,same shore,not close,5.0,11.0,female,No car,summer,558.48,transit
1826,0.75,Same Shore,same shore,close,8.0,14.0,male,No car,summer,109.93,walk
1961,2.13,Same Shore,different shores,not close,12.0,17.0,female,No car,summer,59.65,transit
1936,1.72,Same Shore,different shores,not close,10.0,16.0,female,No car,summer,122.48,transit
1784,0.63,Same Shore,same shore,close,8.0,14.0,male,No car,summer,20.78,walk
21,2.63,non Same Shore,same shore,not close,9.0,15.0,female,No car,summer,675.65,transit
863,2.15,non Same Shore,same shore,not close,7.0,13.0,male,No car,summer,609.84,transit
894,1.89,non Same Shore,same shore,not close,12.0,18.0,male,No car,summer,270.93,bike
1148,0.52,non Same Shore,same shore,not close,10.0,15.0,female,No car,summer,44.6,walk
116,2.49,non Same Shore,same shore,not close,10.0,16.0,female,No car,summer,524.9,transit
2072,0.63,Same Shore,same shore,close,6.0,11.0,female,No car,summer,22.72,walk
1111,0.48,non Same Shore,same shore,not close,7.0,13.0,female,No car,summer,48.28,walk
