ID,device_name,security_label,label_condition,functionality,price,alternative,subject,item,age,gender,education,original_choice
9266,security camera,Has a security label,Graded_D,Functionality level of premium,191.99,graded,2516,3,26,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
415,security camera,Has a security label,info_label_low,Functionality level of premium,175.99,binary,109,4,26,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
4507,wearable,Does not have a security label,SbD,Functionality level of standard,175.99,graded,1242,2,22,male,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
6084,Smart TV,Has a security label,Graded_G,Functionality level of premium,175.99,binary,1640,4,18,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
5774,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,191.99,informational,1556,2,28,female,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
9883,security camera,Has a security label,Graded_G,Functionality level of premium,175.99,binary,2678,4,25,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
11040,wearable,Has a security label,info_label_low,Functionality level of standard,159.99,binary,2917,9,26,female,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
531,smart thermostat,Does not have a security label,SbD,Functionality level of premium,191.99,informational,134,2,27,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
7898,security camera,Does not have a security label,Graded_D,Functionality level of premium,191.99,informational,2178,2,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
4981,smart thermostat,Does not have a security label,Graded_G,Functionality level of premium,159.99,graded,1347,5,24,female,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
7821,smart thermostat,Has a security label,info_label_high,Functionality level of premium,175.99,binary,2143,4,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
6618,smart thermostat,Has a security label,SbD,Functionality level of standard,175.99,binary,1769,10,27,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
5140,security camera,Has a security label,Graded_D,Functionality level of standard,207.99,binary,1384,5,23,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
7560,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,191.99,graded,2070,6,28,male,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('not willing to pay for the IoT device',)"
4780,Smart TV,Has a security label,SbD,Functionality level of standard,207.99,binary,1298,5,21,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
10667,Smart TV,Does not have a security label,info_label_high,Functionality level of premium,207.99,binary,2829,7,29,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
3928,smart thermostat,Has a security label,info_label_high_sec,Functionality level of standard,207.99,binary,1113,5,25,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
410,security camera,Does not have a security label,info_label_high,Functionality level of standard,207.99,informational,108,1,22,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
1272,smart thermostat,Does not have a security label,info_label_low,Functionality level of standard,159.99,informational,340,8,18,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
1531,smart thermostat,Does not have a security label,Graded_G,Functionality level of premium,223.99,graded,420,1,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
7769,wearable,Does not have a security label,info_label_high_sec,Functionality level of premium,159.99,graded,2128,5,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
10611,smart thermostat,Does not have a security label,info_label_low,Functionality level of premium,175.99,informational,2818,5,29,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
10979,Smart TV,Has a security label,Graded_A,Functionality level of standard,159.99,binary,2903,1,18,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
8988,security camera,Does not have a security label,info_label_high,Functionality level of standard,191.99,graded,2437,9,25,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
2542,Smart TV,Has a security label,SbD,Functionality level of standard,191.99,graded,693,8,27,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
8459,smart thermostat,Does not have a security label,Graded_A,Functionality level of standard,207.99,informational,2317,3,21,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
6949,security camera,Does not have a security label,Graded_G,Functionality level of premium,191.99,graded,1868,6,25,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
5231,wearable,Has a security label,info_label_low,Functionality level of premium,207.99,binary,1412,2,24,unknown,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
4708,Smart TV,Does not have a security label,info_label_high_sec,Functionality level of premium,191.99,informational,1283,2,28,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
5509,Smart TV,Has a security label,Graded_G,Functionality level of premium,207.99,binary,1475,2,26,male,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
1851,wearable,Has a security label,Graded_G,Functionality level of standard,207.99,binary,504,5,23,male,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
3097,wearable,Has a security label,info_label_high,Functionality level of premium,207.99,binary,845,2,29,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
9962,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,175.99,binary,2689,8,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
6696,smart thermostat,Has a security label,Graded_A,Functionality level of standard,175.99,binary,1791,10,24,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
6657,security camera,Does not have a security label,info_label_low,Functionality level of premium,191.99,graded,1778,6,21,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
5298,smart thermostat,Does not have a security label,Graded_G,Functionality level of standard,207.99,informational,1433,1,22,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
8006,smart thermostat,Does not have a security label,info_label_high,Functionality level of premium,175.99,binary,2209,8,27,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
4742,smart thermostat,Does not have a security label,Graded_G,Functionality level of standard,223.99,binary,1288,6,20,female,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
10347,smart thermostat,Has a security label,Graded_A,Functionality level of standard,191.99,graded,2769,8,27,male,No formal qualifications,"('not willing to pay for the IoT device',)"
82,wearable,Has a security label,Graded_G,Functionality level of premium,175.99,informational,14,6,24,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
6958,smart thermostat,Does not have a security label,Graded_A,Functionality level of premium,223.99,graded,1873,1,26,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
1507,smart thermostat,Has a security label,Graded_G,Functionality level of standard,223.99,graded,413,7,29,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
7898,security camera,Does not have a security label,Graded_D,Functionality level of standard,175.99,graded,2178,2,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
10200,wearable,Does not have a security label,SbD,Functionality level of premium,175.99,informational,2736,5,24,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
4031,smart thermostat,Has a security label,info_label_high,Functionality level of standard,191.99,graded,1130,8,24,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
9828,smart thermostat,Has a security label,Graded_A,Functionality level of premium,223.99,informational,2666,9,18,male,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
5069,smart thermostat,Has a security label,Graded_G,Functionality level of premium,175.99,informational,1371,6,24,male,"Post-graduate Degree (MA, MSc etc.)","('not willing to pay for the IoT device',)"
5344,smart thermostat,Has a security label,Graded_G,Functionality level of standard,175.99,binary,1438,10,28,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
7856,smart thermostat,Has a security label,Graded_A,Functionality level of standard,159.99,binary,2159,1,27,male,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('willing to pay for the IoT device',)"
10923,wearable,Does not have a security label,info_label_high_sec,Functionality level of premium,191.99,informational,2887,2,29,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
4645,Smart TV,Does not have a security label,Graded_D,Functionality level of premium,175.99,binary,1267,8,23,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
4115,smart thermostat,Does not have a security label,Graded_D,Functionality level of standard,223.99,graded,1157,4,19,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
511,wearable,Does not have a security label,Graded_G,Functionality level of premium,159.99,informational,131,10,18,male,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
10347,smart thermostat,Does not have a security label,Graded_A,Functionality level of premium,175.99,binary,2769,8,27,male,No formal qualifications,"('willing to pay for the IoT device',)"
7263,Smart TV,Has a security label,info_label_high_sec,Functionality level of premium,207.99,informational,1977,4,28,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
156,smart thermostat,Has a security label,SbD,Functionality level of premium,223.99,informational,37,9,23,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
5027,security camera,Has a security label,info_label_high_sec,Functionality level of premium,207.99,binary,1361,2,26,male,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
9274,Smart TV,Does not have a security label,Graded_A,Functionality level of premium,223.99,graded,2520,1,23,male,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
8953,smart thermostat,Has a security label,Graded_D,Functionality level of premium,175.99,informational,2430,6,28,female,"Post-graduate Degree (MA, MSc etc.)","('willing to pay for the IoT device',)"
3567,smart thermostat,Does not have a security label,info_label_high_sec,Functionality level of premium,223.99,graded,990,1,23,male,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
4220,Smart TV,Has a security label,Graded_G,Functionality level of premium,191.99,graded,1187,3,19,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
9664,wearable,Does not have a security label,Graded_G,Functionality level of premium,207.99,binary,2625,7,25,male,Secondary Education (GCSE/O-Levels),"('willing to pay for the IoT device',)"
1387,smart thermostat,Does not have a security label,info_label_high,Functionality level of premium,191.99,graded,381,6,26,female,"Undergraduate Degree (BA, BSc etc.)","('not willing to pay for the IoT device',)"
1607,smart thermostat,Does not have a security label,Graded_D,Functionality level of premium,207.99,binary,438,7,18,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('willing to pay for the IoT device',)"
5248,smart thermostat,Has a security label,info_label_high,Functionality level of standard,159.99,binary,1416,9,26,female,"Undergraduate Degree (BA, BSc etc.)","('willing to pay for the IoT device',)"
2943,smart thermostat,Has a security label,info_label_high_sec,Functionality level of standard,207.99,binary,805,5,28,female,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
1264,Smart TV,Has a security label,SbD,Functionality level of standard,191.99,informational,339,7,20,female,"Vocational Qualification (Diploma, Certificate, BTEC, NVQ 4 and above, or similar)","('willing to pay for the IoT device',)"
8064,Smart TV,Has a security label,info_label_high,Functionality level of standard,191.99,informational,2227,7,26,male,"Post-Secondary Education (College, A-Levels, NVQ3 or below, or similar)","('not willing to pay for the IoT device',)"
5007,wearable,Does not have a security label,info_label_high,Functionality level of standard,223.99,binary,1356,6,25,female,Secondary Education (GCSE/O-Levels),"('not willing to pay for the IoT device',)"
