ID,price1,price2,capacity1,capacity2,energy1,energy2,safety1,safety2,original_choice
2,33250.0,47500.0,500.0,600.0,0.6,0.6,70.0,90.0,2
197,38000.0,42750.0,400.0,600.0,0.4,0.8,70.0,90.0,1
433,38000.0,38000.0,400.0,400.0,0.6,0.5,90.0,80.0,1
303,38000.0,42750.0,700.0,600.0,0.8,0.8,80.0,80.0,1
100,38000.0,33250.0,700.0,500.0,0.7,0.7,70.0,90.0,1
396,33250.0,47500.0,400.0,600.0,0.5,0.6,90.0,90.0,3
539,33250.0,33250.0,700.0,400.0,0.8,0.5,90.0,90.0,1
456,33250.0,42750.0,700.0,500.0,0.8,0.8,90.0,80.0,1
279,38000.0,38000.0,500.0,600.0,0.4,0.4,80.0,90.0,3
406,33250.0,47500.0,700.0,500.0,0.4,0.8,80.0,80.0,1
106,38000.0,38000.0,500.0,500.0,0.6,0.8,80.0,70.0,1
15,38000.0,38000.0,500.0,700.0,0.6,0.7,80.0,70.0,1
370,33250.0,42750.0,500.0,600.0,0.7,0.8,90.0,90.0,1
303,33250.0,42750.0,600.0,700.0,0.5,0.6,70.0,70.0,1
257,33250.0,47500.0,500.0,700.0,0.6,0.5,80.0,80.0,3
344,33250.0,42750.0,500.0,500.0,0.7,0.8,90.0,80.0,1
250,33250.0,47500.0,600.0,500.0,0.5,0.7,80.0,90.0,1
533,38000.0,42750.0,600.0,400.0,0.7,0.4,70.0,90.0,1
361,38000.0,47500.0,500.0,400.0,0.8,0.7,70.0,80.0,2
292,33250.0,47500.0,700.0,500.0,0.5,0.7,80.0,90.0,3
396,33250.0,42750.0,400.0,400.0,0.5,0.6,90.0,80.0,1
4,38000.0,42750.0,400.0,500.0,0.5,0.7,80.0,80.0,1
279,33250.0,38000.0,700.0,500.0,0.5,0.7,80.0,90.0,2
123,33250.0,42750.0,500.0,600.0,0.6,0.8,70.0,80.0,2
415,33250.0,38000.0,700.0,400.0,0.8,0.5,90.0,80.0,2
158,33250.0,42750.0,600.0,500.0,0.5,0.5,80.0,90.0,1
531,33250.0,33250.0,700.0,500.0,0.8,0.6,90.0,80.0,3
347,33250.0,47500.0,700.0,400.0,0.5,0.6,80.0,90.0,3
224,38000.0,33250.0,400.0,500.0,0.4,0.6,70.0,70.0,1
38,38000.0,47500.0,700.0,600.0,0.7,0.6,70.0,80.0,2
387,38000.0,47500.0,700.0,400.0,0.8,0.7,80.0,80.0,1
539,38000.0,42750.0,600.0,700.0,0.7,0.7,70.0,90.0,1
56,38000.0,42750.0,700.0,500.0,0.7,0.5,70.0,70.0,1
332,33250.0,42750.0,400.0,700.0,0.7,0.6,80.0,70.0,2
506,38000.0,33250.0,400.0,500.0,0.6,0.6,70.0,80.0,2
431,33250.0,47500.0,700.0,600.0,0.8,0.5,90.0,70.0,3
503,38000.0,33250.0,400.0,700.0,0.6,0.4,70.0,80.0,2
249,33250.0,42750.0,600.0,400.0,0.4,0.6,70.0,80.0,1
364,38000.0,33250.0,500.0,700.0,0.8,0.4,70.0,80.0,2
178,38000.0,33250.0,600.0,400.0,0.8,0.5,80.0,90.0,1
488,38000.0,38000.0,600.0,500.0,0.7,0.6,70.0,80.0,2
92,38000.0,47500.0,400.0,700.0,0.5,0.8,80.0,90.0,1
270,38000.0,38000.0,700.0,600.0,0.6,0.8,70.0,70.0,3
274,33250.0,47500.0,700.0,600.0,0.4,0.7,80.0,70.0,1
143,33250.0,47500.0,600.0,500.0,0.4,0.7,70.0,90.0,1
522,38000.0,33250.0,500.0,500.0,0.7,0.7,90.0,90.0,2
313,33250.0,38000.0,500.0,700.0,0.7,0.7,90.0,70.0,1
73,38000.0,42750.0,500.0,700.0,0.6,0.5,80.0,70.0,1
519,38000.0,38000.0,600.0,600.0,0.7,0.7,70.0,70.0,1
39,38000.0,42750.0,400.0,400.0,0.7,0.6,80.0,70.0,3
168,38000.0,33250.0,400.0,600.0,0.4,0.5,70.0,70.0,1
128,33250.0,47500.0,400.0,500.0,0.8,0.5,70.0,70.0,2
386,38000.0,38000.0,500.0,400.0,0.4,0.6,80.0,90.0,2
273,33250.0,47500.0,700.0,500.0,0.4,0.7,80.0,90.0,3
107,33250.0,33250.0,500.0,700.0,0.6,0.5,70.0,80.0,1
282,33250.0,47500.0,600.0,400.0,0.5,0.6,70.0,90.0,1
74,38000.0,47500.0,400.0,500.0,0.5,0.6,80.0,80.0,3
413,33250.0,42750.0,700.0,500.0,0.8,0.7,90.0,70.0,3
185,38000.0,38000.0,700.0,700.0,0.6,0.6,70.0,70.0,3
126,38000.0,33250.0,400.0,500.0,0.5,0.6,80.0,70.0,1
342,33250.0,38000.0,400.0,700.0,0.5,0.8,90.0,80.0,3
198,38000.0,42750.0,600.0,500.0,0.8,0.8,80.0,80.0,1
263,38000.0,42750.0,700.0,400.0,0.6,0.6,70.0,80.0,3
269,38000.0,33250.0,400.0,700.0,0.5,0.8,80.0,90.0,2
381,38000.0,42750.0,600.0,600.0,0.4,0.8,90.0,80.0,1
387,33250.0,42750.0,500.0,400.0,0.7,0.6,90.0,70.0,1
458,38000.0,38000.0,500.0,700.0,0.7,0.8,90.0,80.0,1
422,38000.0,42750.0,400.0,600.0,0.6,0.8,90.0,80.0,1
