ID,user_state,price1,price2,gas1,gas2,nuc1,nuc2,ren1,ren2,fos1,fos2,original_choice
25,California,90,90,60,60,20,20,20,20,50,50,2
265,California,110,120,60,20,10,20,30,10,50,60,2
176,California,90,90,20,60,30,20,30,20,30,50,1
602,California,110,100,40,40,20,30,0,20,70,40,2
429,California,90,90,0,0,0,0,0,0,90,90,1
713,California,110,120,0,40,30,0,10,30,50,60,1
19,California,90,90,0,0,0,0,0,0,90,90,2
587,California,120,100,0,0,10,20,20,30,60,40,2
88,California,110,100,0,20,30,10,10,0,50,80,2
819,California,110,110,60,40,10,20,30,0,50,70,2
816,California,100,110,60,20,0,0,10,20,80,70,1
195,California,120,100,60,20,30,10,0,0,60,80,2
443,California,120,100,60,60,30,0,0,10,60,80,2
7,California,110,90,60,20,10,30,30,30,50,30,2
253,California,90,110,20,20,30,0,30,20,30,70,2
894,California,100,100,40,40,30,30,20,20,40,40,2
529,California,100,90,40,40,30,10,20,10,40,70,1
622,California,110,110,40,0,20,30,0,10,70,50,2
631,California,120,90,0,60,10,20,20,20,60,50,2
343,California,100,90,20,60,10,20,0,20,80,50,2
825,California,120,90,20,20,20,30,10,30,60,30,2
501,California,100,110,40,60,30,10,20,30,40,50,2
974,California,120,120,60,40,30,0,0,30,60,60,2
276,California,120,90,60,20,30,30,0,30,60,30,2
1,California,90,100,60,40,20,30,20,20,50,40,1
742,California,120,120,40,40,0,0,30,30,60,60,2
740,California,100,90,60,0,0,0,10,0,80,90,1
575,California,120,110,60,20,30,0,0,20,60,70,2
393,California,110,90,0,60,30,20,10,20,50,50,1
743,California,110,100,20,40,0,30,20,20,70,40,1
786,California,90,90,60,0,20,0,20,0,50,90,1
368,California,120,100,40,20,0,10,30,0,60,80,2
474,California,110,90,0,40,30,10,10,10,50,70,2
825,California,110,110,40,20,20,0,0,20,70,70,1
237,California,100,120,0,0,20,10,30,20,40,60,2
85,California,110,110,60,0,10,30,30,10,50,50,2
247,California,120,100,0,60,10,0,20,10,60,80,2
117,California,100,100,60,0,0,20,10,30,80,40,1
849,California,90,100,60,40,20,30,20,20,50,40,1
8,California,100,110,20,60,10,10,0,30,80,50,2
523,California,120,100,40,20,0,10,30,0,60,80,1
701,California,120,120,40,20,0,20,30,10,60,60,1
439,California,100,110,0,0,20,30,30,10,40,50,1
949,California,110,90,60,40,10,10,30,10,50,70,2
350,California,100,100,60,40,0,30,10,20,80,40,1
300,California,120,90,60,0,30,0,0,0,60,90,2
198,California,90,90,20,40,30,10,30,10,30,70,1
862,California,110,90,20,0,0,0,20,0,70,90,2
689,California,90,120,60,40,20,0,20,30,50,60,1
169,California,90,90,20,40,30,10,30,10,30,70,1
994,California,120,110,20,0,20,30,10,10,60,50,1
530,California,110,100,60,60,10,0,30,10,50,80,2
985,California,110,120,20,0,0,10,20,20,70,60,1
719,California,100,110,60,20,0,0,10,20,80,70,1
373,California,90,120,60,40,20,0,20,30,50,60,1
985,California,120,120,40,0,0,10,30,20,60,60,2
445,California,120,110,0,20,10,0,20,20,60,70,2
982,California,110,100,20,0,0,20,20,30,70,40,1
804,California,110,90,40,0,20,0,0,0,70,90,2
463,California,100,90,20,60,10,20,0,20,80,50,1
661,California,110,110,60,0,10,30,30,10,50,50,1
104,California,90,100,0,20,0,10,0,0,90,80,2
720,California,110,100,60,20,10,10,30,0,50,80,1
62,California,120,120,60,40,30,0,0,30,60,60,2
182,California,100,120,0,40,20,0,30,30,40,60,1
140,California,100,90,60,0,0,0,10,0,80,90,1
206,California,110,110,0,0,30,30,10,10,50,50,2
519,California,100,110,20,20,10,0,0,20,80,70,1
671,California,100,90,60,40,0,10,10,10,80,70,1
426,California,90,120,0,40,0,0,0,30,90,60,2
218,California,90,110,40,60,10,10,10,30,70,50,1
259,California,90,110,0,60,0,10,0,30,90,50,2
322,California,100,120,0,0,20,10,30,20,40,60,1
427,California,110,120,0,20,30,20,10,10,50,60,2
303,California,100,90,0,60,20,20,30,20,40,50,1
226,California,90,120,20,40,30,0,30,30,30,60,1
616,California,100,100,60,60,0,0,10,10,80,80,1
139,California,120,100,40,0,0,20,30,30,60,40,2
610,California,100,100,20,20,10,10,0,0,80,80,1
393,California,100,100,60,0,0,20,10,30,80,40,1
895,California,110,90,20,20,0,30,20,30,70,30,1
833,California,100,90,40,60,30,20,20,20,40,50,2
622,California,90,100,40,20,10,10,10,0,70,80,2
651,California,120,100,60,60,30,0,0,10,60,80,2
905,California,100,100,40,60,30,0,20,10,40,80,1
229,California,100,100,40,0,30,20,20,30,40,40,1
826,California,110,110,0,40,30,20,10,0,50,70,2
964,California,100,120,20,40,10,0,0,30,80,60,1
